"activity" "subject" "variable" "mean"
"LAYING" 25 "tBodyAcc_mean___X" 0.281587895671642
"LAYING" 25 "tBodyAcc_mean___Y" -0.0232940871262687
"LAYING" 25 "tBodyAcc_mean___Z" -0.111342868820896
"LAYING" 25 "tBodyAcc_std___X" -0.35449578219403
"LAYING" 25 "tBodyAcc_std___Y" -0.122076968631343
"LAYING" 25 "tBodyAcc_std___Z" -0.358563807910448
"LAYING" 25 "tGravityAcc_mean___X" 0.95220845
"LAYING" 25 "tGravityAcc_mean___Y" -0.16165490480597
"LAYING" 25 "tGravityAcc_mean___Z" 0.0466790853059701
"LAYING" 25 "tGravityAcc_std___X" -0.967471422238806
"LAYING" 25 "tGravityAcc_std___Y" -0.944533584477612
"LAYING" 25 "tGravityAcc_std___Z" -0.912598794925373
"LAYING" 25 "tBodyAccJerk_mean___X" 0.104281423896716
"LAYING" 25 "tBodyAccJerk_mean___Y" -0.00154458795223881
"LAYING" 25 "tBodyAccJerk_mean___Z" -0.015790759761791
"LAYING" 25 "tBodyAccJerk_std___X" -0.550905335373134
"LAYING" 25 "tBodyAccJerk_std___Y" -0.439023398955224
"LAYING" 25 "tBodyAccJerk_std___Z" -0.730473943880597
"LAYING" 25 "tBodyGyro_mean___X" 0.0446095071791045
"LAYING" 25 "tBodyGyro_mean___Y" -0.114724830571343
"LAYING" 25 "tBodyGyro_mean___Z" 0.0844635376626866
"LAYING" 25 "tBodyGyro_std___X" -0.352327987776119
"LAYING" 25 "tBodyGyro_std___Y" -0.447250805820896
"LAYING" 25 "tBodyGyro_std___Z" -0.495293246716418
"LAYING" 25 "tBodyGyroJerk_mean___X" -0.114935814892537
"LAYING" 25 "tBodyGyroJerk_mean___Y" -0.0380204553547761
"LAYING" 25 "tBodyGyroJerk_mean___Z" -0.0541320693262687
"LAYING" 25 "tBodyGyroJerk_std___X" -0.508540971940298
"LAYING" 25 "tBodyGyroJerk_std___Y" -0.794738742238806
"LAYING" 25 "tBodyGyroJerk_std___Z" -0.642143695522388
"LAYING" 25 "tBodyAccMag_mean__" -0.242882056238806
"LAYING" 25 "tBodyAccMag_std__" -0.355656243895522
"LAYING" 25 "tGravityAccMag_mean__" -0.242882056238806
"LAYING" 25 "tGravityAccMag_std__" -0.355656243895522
"LAYING" 25 "tBodyAccJerkMag_mean__" -0.544945887313433
"LAYING" 25 "tBodyAccJerkMag_std__" -0.543349355671642
"LAYING" 25 "tBodyGyroMag_mean__" -0.234817039132836
"LAYING" 25 "tBodyGyroMag_std__" -0.349989404771642
"LAYING" 25 "tBodyGyroJerkMag_mean__" -0.682856995671642
"LAYING" 25 "tBodyGyroJerkMag_std__" -0.722952022835821
